w,p,LL_diff,LL_diff_log
0.91,0.24,40717.12772,4.609777134
0.92,0.24,11013.47774,4.041924478
0.93,0.24,75666.26368,4.878902289
0.94,0.24,76039.78091,4.881040857
0.95,0.24,16773.56922,4.224625485
0.96,0.24,72340.34654,4.859380585
0.97,0.24,130124.1251,5.114357823
0.98,0.24,73353.74979,4.86542232
0.99,0.24,43750.27595,4.640980797
1,0.24,14901.65072,4.17323438
0,0.25,6.632093753,0.821650657
0.01,0.25,0,#NAME?
0.02,0.25,1.2488461,0.096508922
0.03,0.25,0,#NAME?
0.04,0.25,1.937636857,0.287272387
0.05,0.25,2.67253894,0.426924042
0.06,0.25,2.604111159,0.415659519
0.07,0.25,6.971322983,0.843315204
0.08,0.25,5.100851466,0.707642677
0.09,0.25,2.73200327,0.436481215
0.1,0.25,22.38655424,1.349987252
0.11,0.25,36.80149661,1.565865481
0.12,0.25,23.63229149,1.373505835
0.13,0.25,7.550316579,0.877965162
0.14,0.25,23.07776357,1.36319372
0.15,0.25,25.64075725,1.408930847
0.16,0.25,33.85410817,1.529611378
0.17,0.25,58.58802926,1.76780889
0.18,0.25,18.45526034,1.266120176
0.19,0.25,34.02937264,1.531853943
0.2,0.25,53.46579957,1.728076066
0.21,0.25,46.87129815,1.670906982
0.22,0.25,77.77187326,1.89082256
0.23,0.25,179.7753922,2.254730245
0.24,0.25,73.9696485,1.869053555
0.25,0.25,50.96972877,1.707312323
0.26,0.25,57.58309101,1.760294974
0.27,0.25,134.5936875,2.129024692
0.28,0.25,130.0677502,2.114169628
0.29,0.25,75.09500812,1.875611069
0.3,0.25,119.7395451,2.078237604
0.31,0.25,514.3859631,2.711289109
0.32,0.25,179.5238487,2.25412215
0.33,0.25,56.13970945,1.749270161
0.34,0.25,116.8224339,2.06752625
0.35,0.25,260.6115277,2.415993622
0.36,0.25,303.7704672,2.482545549
0.37,0.25,348.5182984,2.542225585
0.38,0.25,2415.166609,3.382947096
0.39,0.25,1570.417673,3.196015174
0.4,0.25,526.3676962,2.721289228
0.41,0.25,1427.328121,3.154523822
0.42,0.25,1265.512261,3.102266357
0.43,0.25,312.6812863,2.49510189
